domain	symbol	role	reuse	source	line
open-file-path	linux_fcntl	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	1528
open-file-path	linux_fcntl64	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	1536
open-file-path	linux_fdatasync	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	996
open-file-path	linux_ftruncate	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	945
open-file-path	linux_ftruncate64	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	953
open-file-path	linux_getdents	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	441
open-file-path	linux_getdents64	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	520
open-file-path	linux_getdents_error	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	356
open-file-path	linux_getdirentries	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	407
open-file-path	linux_inotify_add_watch	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	2038
open-file-path	linux_inotify_init	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	1972
open-file-path	linux_inotify_init1	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	1979
open-file-path	linux_inotify_init_flags	converter	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	1945
open-file-path	linux_inotify_rm_watch	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	2051
open-file-path	linux_lchown	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	1616
open-file-path	linux_link	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	969
open-file-path	linux_linkat	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	978
open-file-path	linux_llseek	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	323
open-file-path	linux_lseek	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	315
open-file-path	linux_memfd_create	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	1818
